Agency,City,DATE,TIME,VEH#,Trailers,INJ,DEAD,DEER,House#,Roadway Id,Intersect Rd.,Interchange,Ramp,Property Type,Feet From,Dir,Latitude,Longitude,Road Class,H&R,Locality,School ,Rumble Strips,CN Zone,CN Type,Light,Weather,Surf Con,Median,Rd Junction,Road Char,Surface,Primary Factor,Collision Type,Unique Id,Traffic Control,Latitude1,Longitude1
MCSD,BLOOMINGTON,7/30/2014,1:16 AM,1,0,0,5402.174698,118.4561582,,  1ST AVE,SANDERS SECOND,,,OTHER,250,S,39.05298165,-86.51332005,CR,N,RURAL,N,N,N,,DARK,CLEAR,DRY,NONE,None,CURVE/GRADE,ASP,RAN OFF ROAD RIGHT,RAN OFF ROAD,1STAVENUESANDERSAVES FAIRFAXRD,LANE CONTROL,39.17688,-86.534736
BPD,BLOOMINGTON,5/11/2015,9:50 AM,2,0,0,657.7727875,361.0204438,203,  1ST ST,,,,,,,39.159344,-86.53237322,UNK,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,None,STRAIGHT/LEVEL,ASP,OTHER (DRIVER),RIGHT ANGLE,W 1STST,NONE,39.15971464,-86.53487561
BPD,BLOOMINGTON,1/04/2016,2:06 PM,2,0,0,6550.803291,234.5188599,709,  1ST ST,,,,,,,39.17664,-86.54108212,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,None,NON-ROADWAY CRASH,ASP,UNSAFE BACKING,BACKING CRASH,W1STST,NONE,39.15944,-86.53488
BPD,BLOOMINGTON,6/14/2016,3:00 PM,2,0,0,3279.533913,16.7147524,1007,  1ST ST,,,,,,,39.159344,-86.52243471,CITY,Y,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,None,STRAIGHT/GRADE,GRAVEL,IMPROPER TURNING,RIGHT TURN,1STST,NONE,39.17688,-86.534736
BPD,BLOOMINGTON,8/06/2013,1340,1,0,1,3849.47362,63.02091317,1210,  1ST ST,,,,OTHER,,,39.159344,-86.51893616,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,None,STRAIGHT/LEVEL,ASP,DRIVER ILLNESS,RAN OFF ROAD,E1STST,NONE,39.16026391,-86.53486682
BPD,BLOOMINGTON,9/03/2013,1124,2,0,1,7856.185819,114.8587961,717,  1ST ST, ,,,OTHER,,,39.159248,-86.508288,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T,STRAIGHT/GRADE,ASP,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,717W1STSTW1STST,LANE CONTROL,39.15944,-86.53488
ELPD,ELLETTSVILLE,6/18/2015,1:30 PM,2,0,0,1961.49205,656.857406,,  1ST ST,ASSOCIATION ST,,,,45,N,39.2308,-86.622032,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,None,STRAIGHT/GRADE,ASP,OTHER (DRIVER),BACKING CRASH,ASSOCIATIONSTFIRSTST,LANE CONTROL,39.15944,-86.53488
BPD,BLOOMINGTON,5/06/2015,11:03 AM,1,0,1,8074.734604,433.8499158,,  1ST ST,B LINE TRAIL,,,,,,0,0,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,None,STRAIGHT/GRADE,ASP,DISREGARD SIGNAL/REG SIGN,RIGHT ANGLE,1STSTBLINETRL,STOP SIGN,39.17688,-86.534736
BPD,BLOOMINGTON,10/17/2017,5:42 PM,1,0,1,2577.163307,878.8356115,,  1ST ST,B LINE TRAIL,,,,,,0,0,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,None,STRAIGHT/LEVEL,ASP,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,BLINETRLW1STST,NONE,39.15944,-86.53488
BPD,BLOOMINGTON,10/10/2018,1:30 PM,1,0,1,5791.146772,557.1232921,,  1ST ST,B LINE TRAIL,,,,,,0,0,CITY,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,4-WAY,STRAIGHT/GRADE,ASP,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,BLINETRAILTRLW1STST,NONE,39.15944,-86.53488
